Provinsi	Jumlah Bencana Alam - Tanah Longsor	Jumlah Bencana Alam - Banjir	Jumlah Bencana Alam - Cuaca Ekstrem
Aceh	16	79	61
Sumatera Utara	8	53	18
Sumatera Barat	18	53	27
Riau	5	6	1
Jambi	0	20	1
Sumatera Selatan	6	33	8
Bengkulu	1	13	5
Lampung	1	17	8
Kepulauan Bangka Belitung	2	2	7
Kepulauan Riau	0	2	4
DKI Jakarta	0	21	1
Jawa Barat	208	160	241
Jawa Tengah	172	150	179
DI Yogyakarta	2	1	11
Jawa Timur	73	117	113
Banten	4	35	21
Bali	12	3	23
Nusa Tenggara Barat	1	19	18
Nusa Tenggara Timur	0	3	8
Kalimantan Barat	3	37	15
Kalimantan Tengah	1	43	2
Kalimantan Selatan	3	38	24
Kalimantan Timur	7	18	3
Kalimantan Utara	2	3	6
Sulawesi Utara	2	10	4
Sulawesi Tengah	0	31	1
Sulawesi Selatan	21	45	51
Sulawesi Tenggara	2	6	7
Gorontalo	0	22	2
Sulawesi Barat	2	5	3
Maluku	1	10	5
Maluku Utara	0	13	0
Papua Barat	2	6	1
Papua	2	6	1
